canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(loc_prior_bar_pos_24>-0.45541885)|(compression_ratio>-0.80156231&prior_volatility<=0.12982818&range_24h_pct>0.025123537&up_down_return_mass_ratio_tanh<=0.50999045&volatility_ratio_short_long<=0.12984942),6,6,location|regime,compression|context|path_structure|volatility|volatility_term_structure,context,compression|context|path_structure|volatility|volatility_term_structure
(*)|(loc_prior_bar_pos_24>-0.45541885)|(compression_ratio>-0.80156231&prior_volatility<=0.12982818&range_24h_pct>0.025123537&up_down_return_mass_ratio_tanh<=0.50999045&volatility_ratio_short_long>0.12984942),6,6,location|regime,compression|context|path_structure|volatility|volatility_term_structure,context,compression|context|path_structure|volatility|volatility_term_structure
(*)|(loc_prev_week_range_pos_48<=0.25581738&loc_prior_bar_pos_48<=0.61428475)|(prior_volatility>0.12982818&range_24h_pct>0.025123537),4,4,location|regime,compression|context,context,compression|context
(*)|(loc_prev_week_range_pos_48>0.50110739&loc_prior_bar_pos_48<=0.61428475)|(prior_volatility>0.12982818&range_24h_pct>0.025123537),4,4,location|regime,compression|context,context,compression|context
(*)|(pullback_depth>0.83640015)|(prior_volatility<=-0.37707454&range_24h_pct>0.033871144),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_rolling_7d_high<=0.25267488)|(prior_volatility>-0.37707454&range_24h_pct>0.033871144&return_autocorr_48<=-0.44814634&true_range_percentile>0.53637969),5,5,location|regime,compression|context|momentum|volatility,context,compression|context|momentum|volatility
(*)|(dist_rolling_7d_high<=0.25267488)|(prior_volatility>-0.37707454&range_24h_pct>0.033871144&return_autocorr_48>-0.44814634&up_down_semivol_ratio_tanh<=0.28107134&variance_ratio_10_48>-0.26915717),6,6,location|regime,compression|context|momentum|path_structure|volatility,context,compression|context|momentum|path_structure|volatility
(*)|(dist_rolling_7d_high>0.25267488)|(prior_volatility>-0.37707454&range_24h_pct>0.033871144&volume_entropy_24<=0.049215667),4,4,location|regime,compression|context|liquidity,context,compression|context|liquidity
(*)|(dist_rolling_7d_high>0.25267488)|(prior_volatility>-0.37707454&range_24h_pct>0.033871144&volume_entropy_24>0.049215667),4,4,location|regime,compression|context|liquidity,context,compression|context|liquidity
(*)|(loc_initial_balance_pos_48<=0.58064568&loc_pivot_ladder_pos_48<=-0.088865384)|(range_24h_pct<=0.069543272&rv_24h>-0.41547385),4,4,location|regime,compression|volatility,context,compression|context|volatility
