cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_timeout,cell_bind,cell_ap_lift,cell_tp_over_sl,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_n
TF_long_H8,TF_long,CFG7EF13BA4CE,7,1.0,0.4,672,0.015,0.005,0.005,atr_norm,0.5762,0.5082,0.07144,0.2609346018069766,0.7391,1.1824,2.4381,0.28753,0.29501,0.4444,0.06234,0.02467,0.05684,-0.0415,16713
TF_long_H8,TF_long,CFGA0C979DB84,8,1.25,0.6,336,0.01,0.005,0.005,atr_norm,0.5744,0.5137,0.09664,0.2090999010880316,0.7909,1.1778,2.1456,0.28799,0.2648,0.4444,0.06387,0.02217,0.09701,-0.01545,15165
TF_long_H8,TF_long,CFGFBE9340C4A,9,1.0,0.4,504,0.015,0.005,0.005,atr_norm,0.5725,0.5125,0.0753,0.2367361873399195,0.7633,1.1704,2.4651,0.28744,0.28865,0.5556,0.08443,0.02597,0.05976,-0.03115,16398
TF_long_H8,TF_long,CFGABBD3421C9,10,1.6,0.6,672,0.015,0.005,0.005,atr_norm,0.5715,0.4936,0.09236,0.3731032593809915,0.6269,1.1809,2.2708,0.28504,0.31903,0.4444,0.06488,0.06298,-0.01216,-0.05748,18255
TF_short_H2,TF_short,CFGDAFE1D7391,1,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6612,0.5613,0.1245,0.5810619696580098,0.4189,1.6363,1.9061,0.31597,0.45555,0.6667,0.05253,0.04109,0.00054,-0.04378,15556
TF_short_H2,TF_short,CFG99102C1741,2,1.25,0.4,336,0.01,0.005,0.005,atr_norm,0.643,0.5597,0.11386,0.5532470843158499,0.4468,1.5297,1.9117,0.31712,0.44995,0.6667,0.06143,0.0488,0.00832,-0.03024,15691
TF_short_H2,TF_short,CFG0D6C75B2B4,3,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.6585,0.5425,0.12065,0.5953329904859861,0.4047,1.6254,1.8497,0.31799,0.45736,0.6667,0.05437,0.03466,0.00356,-0.06692,15556
TF_short_H2,TF_short,CFGA0C979DB84,4,1.25,0.6,336,0.01,0.005,0.005,atr_norm,0.6403,0.5428,0.1162,0.5674590529602958,0.4325,1.5247,1.8604,0.31969,0.45222,0.6667,0.06341,0.04664,0.01428,-0.05269,15691
TF_short_H2,TF_short,CFGE2B04ABDAE,5,1.0,0.4,336,0.015,0.005,0.005,atr_norm,0.62,0.5468,0.10117,0.5891888670361761,0.4108,1.5453,2.0957,0.31663,0.47407,0.6667,0.06254,0.04892,-0.00651,-0.05793,16779
TF_short_H4,TF_short,CFG4E5636E0BA,1,1.25,0.6,840,0.01,0.005,0.005,atr_norm,0.6641,0.5338,0.17818,0.4405311413215302,0.5595,1.4948,1.8215,0.29745,0.35896,0.5556,0.06028,0.04591,0.04315,-0.03191,15815
TF_short_H4,TF_short,CFG6F52B9041F,2,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.664,0.5507,0.16637,0.4126232236589425,0.5874,1.4897,1.8515,0.29571,0.35443,0.5556,0.05803,0.04551,0.03147,-0.00921,15622
TF_short_H4,TF_short,CFGDAFE1D7391,3,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6485,0.5487,0.15703,0.3800462843918745,0.62,1.4228,1.8748,0.29632,0.34536,0.7778,0.05128,0.04519,0.0258,-0.00569,15556
TF_short_H4,TF_short,CFG93489E34E5,4,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.6592,0.5328,0.16388,0.4276020996031238,0.5724,1.4738,1.8146,0.29728,0.35491,0.6667,0.05729,0.04297,0.04484,-0.03016,15622
TF_short_H4,TF_short,CFG99102C1741,5,1.25,0.4,336,0.01,0.005,0.005,atr_norm,0.6349,0.5497,0.13714,0.340449939455739,0.6596,1.3548,1.8925,0.29566,0.33205,0.7778,0.06531,0.04743,0.03327,0.00587,15691
TF_short_H4,TF_short,CFG0D6C75B2B4,6,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.6422,0.53,0.15061,0.3948958601182823,0.6051,1.4047,1.8162,0.29782,0.3455,0.6667,0.05346,0.03713,0.0366,-0.0279,15556
TF_short_H4,TF_short,CFG7EF13BA4CE,7,1.0,0.4,672,0.015,0.005,0.005,atr_norm,0.6389,0.5399,0.13816,0.4348427446028023,0.5652,1.4432,2.0311,0.29694,0.37546,0.5556,0.05624,0.0456,0.0289,-0.03918,16629
TF_short_H4,TF_short,CFGF4E8AE33FD,8,1.5,0.6,840,0.01,0.005,0.005,atr_norm,0.6441,0.5239,0.15507,0.4696850631687118,0.5303,1.4782,1.9874,0.29789,0.38187,0.5556,0.05566,0.04661,0.03848,-0.06746,16543
TF_short_H4,TF_short,CFGFCA5A7D46B,9,1.25,0.6,840,0.012,0.005,0.005,atr_norm,0.6441,0.5239,0.15507,0.4696850631687118,0.5303,1.4782,1.9874,0.29789,0.38187,0.5556,0.05566,0.04661,0.03848,-0.06746,16543
TF_short_H4,TF_short,CFGB51D9CCD22,10,1.0,0.6,672,0.015,0.005,0.005,atr_norm,0.6329,0.5197,0.13268,0.4516807986048469,0.5483,1.4238,1.9613,0.2986,0.37574,0.6667,0.05657,0.04119,0.03771,-0.06321,16629
TF_short_H8,TF_short,CFG4E5636E0BA,1,1.25,0.6,840,0.01,0.005,0.005,atr_norm,0.6353,0.5265,0.16067,0.3158393929813468,0.6842,1.3387,1.7859,0.2873,0.29516,0.5556,0.07218,0.04545,0.07084,-0.01608,15815
TF_short_H8,TF_short,CFG6F52B9041F,2,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.6372,0.5411,0.16072,0.2904237613621815,0.7096,1.3483,1.8273,0.2862,0.29368,0.5556,0.07022,0.04279,0.05051,0.00156,15622
TF_short_H8,TF_short,CFGDAFE1D7391,3,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6227,0.538,0.13959,0.2582926202108511,0.7417,1.2954,1.8445,0.28623,0.28275,0.4444,0.06967,0.04586,0.04537,0.00328,15556
TF_short_H8,TF_short,CFG93489E34E5,4,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.6302,0.5246,0.15503,0.3034822685955703,0.6965,1.3278,1.7828,0.28724,0.29192,0.5556,0.06932,0.04064,0.07106,-0.01782,15622
TF_short_H8,TF_short,CFG99102C1741,5,1.25,0.4,336,0.01,0.005,0.005,atr_norm,0.6129,0.5417,0.12302,0.2137531068765534,0.7862,1.2501,1.8688,0.28484,0.26711,0.8889,0.07392,0.04718,0.04877,0.01705,15691
TF_short_H8,TF_short,CFG0D6C75B2B4,6,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.614,0.5206,0.13366,0.270827976343533,0.7292,1.2732,1.7779,0.2872,0.28077,0.6667,0.07245,0.04084,0.06219,-0.01828,15556
