canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_ema50_atr<=0.0006759229&distance_to_ema>-0.6673528)|(mkt_ret_eq_24h>-0.60238343&true_range_percentile<=0.14851958),4,4,location|regime,cross_asset|volatility,context,context|cross_asset|volatility
(*)|(dist_ema50_atr<=0.0093811639&dist_ema50_atr>0.0006759229)|(mkt_ret_eq_24h>-0.60238343&true_range_percentile<=0.14851958),4,4,location|regime,cross_asset|volatility,context,context|cross_asset|volatility
(*)|(dist_ema50_atr>0.0093811639)|(mkt_ret_eq_24h>-0.60238343&true_range_percentile<=0.14851958),3,3,location|regime,cross_asset|volatility,context,context|cross_asset|volatility
(*)|(loc_vwap_dev_z_24<=-0.090485856)|(compression_score<=0.21458142&mkt_ret_eq_24h>-0.60238343&true_range_percentile>0.14851958),4,4,location|regime,cross_asset|volatility|volatility_term_structure,liquidity,cross_asset|liquidity|volatility|volatility_term_structure
(*)|(loc_vwap_dev_z_24<=-0.090485856)|(compression_score>0.21458142&mkt_ret_eq_24h>-0.60238343&true_range_percentile>0.14851958),4,4,location|regime,cross_asset|volatility|volatility_term_structure,liquidity,cross_asset|liquidity|volatility|volatility_term_structure
(*)|(loc_vwap_dev_z_24>-0.090485856)|(direction_entropy_20<=0.15910614&mkt_ret_eq_24h>-0.60238343&true_range_percentile>0.14851958),4,4,location|regime,cross_asset|path_structure|volatility,liquidity,cross_asset|liquidity|path_structure|volatility
(*)|(loc_vwap_dev_z_24>-0.090485856)|(direction_entropy_20>0.15910614&mkt_ret_eq_24h>-0.60238343&true_range_percentile>0.14851958),4,4,location|regime,cross_asset|path_structure|volatility,liquidity,cross_asset|liquidity|path_structure|volatility
(*)|(loc_bb_channel_pos_24<=0.5524376)|(realized_volatility_24h>-0.39163902&xasset_mkt_ob_stress<=18.422266),3,3,location|regime,cross_asset_orderbook|volatility,compression,compression|cross_asset_orderbook|volatility
(*)|(loc_bb_channel_pos_24>0.5524376)|(perp_index_basis_z<=0.037106875&xasset_mkt_ob_stress<=18.422266),3,3,location|regime,cross_asset_orderbook|mark_index,compression,compression|cross_asset_orderbook|mark_index
(*)|(loc_bb_channel_pos_24>0.5524376)|(perp_index_basis_z>0.037106875&xasset_mkt_ob_stress<=18.422266),3,3,location|regime,cross_asset_orderbook|mark_index,compression,compression|cross_asset_orderbook|mark_index
