asset,d,n_rows,warmup_bars,K_d,ic_overall_mean,ic_overall_std,ic_event_mean,ic_event_std,ic_nonevent_mean,ic_nonevent_std,ic_ir_event,n_folds_used
1INCH/USDT,0.2,14107,3381,3382,0.020993369106093385,0.019812441388847347,0.09337693355781931,0.02860915690715296,-0.026829790676581172,0.021437986838996864,3.2638826302004817,4
1INCH/USDT,0.3,14107,3381,2275,0.01653887638616818,0.021049349009944467,0.08200616129484266,0.017627625132114362,-0.02723458093883408,0.02280076722059687,4.652138675975332,4
1INCH/USDT,0.4,14107,3381,1458,0.012943308553469578,0.02156820407036416,0.07153572809786948,0.012397292082945639,-0.02625290882027669,0.022909416284612787,5.770269979039034,4
1INCH/USDT,0.5,14107,3381,927,0.010480782743137301,0.02164915097575605,0.06121246299575196,0.012063298263649883,-0.023977109266469822,0.022459165079147407,5.0742721089745615,4
1INCH/USDT,0.6,14107,3381,590,0.009078845468016215,0.02223877140690336,0.05197525818548393,0.014901126673049474,-0.020926546326380937,0.02133192358738553,3.4880083793582677,4
1MBABYDOGE/USDT,0.2,8982,3381,3382,-0.02007355012636039,0.05221643037489686,0.06842322498898541,0.0383645949657562,-0.04470516752169354,0.06762279395296764,1.7834991680887036,4
1MBABYDOGE/USDT,0.3,8982,3381,2275,-0.018517024475596,0.046627948613748985,0.06166797757690302,0.03155129130744658,-0.040002480688671266,0.05860496765968469,1.9545309579078145,4
1MBABYDOGE/USDT,0.4,8982,3381,1458,-0.015201136020638936,0.0392791341618724,0.056031275696556956,0.027962417869203973,-0.03387285177066257,0.04738658357050458,2.0038064646212077,4
1MBABYDOGE/USDT,0.5,8982,3381,927,-0.010638001701935159,0.03092407464658296,0.044844684349626004,0.022983273852483697,-0.024961120753434755,0.03720854857890712,1.9511877501121146,4
1MBABYDOGE/USDT,0.6,8982,3381,590,-0.0034328670420618996,0.02383819085648586,0.0332847465245528,0.021264882865628876,-0.012840172730738187,0.028825296009849677,1.565244688608529,4
AAVE/USDC,0.2,9273,3381,3382,-0.0035759089169427397,0.024255689407156496,0.061227251052296774,0.04994702549073617,-0.02352084208946898,0.017235013449860167,1.2258437659677854,4
AAVE/USDC,0.3,9273,3381,2275,-0.003031044527571986,0.020207009925701562,0.057904760011181146,0.04486125129810305,-0.021262396846147745,0.014315840693281585,1.290752198052876,4
AAVE/USDC,0.4,9273,3381,1458,0.0005234819241927878,0.01878827232613785,0.050629604053339064,0.037085998858041994,-0.013828032018831163,0.017151291925220136,1.3651945275073978,4
AAVE/USDC,0.5,9273,3381,927,0.008812891402322741,0.014232424114784417,0.0315752482037514,0.04476694613887199,0.0038368761373078117,0.017967929636207036,0.705325027096476,4
AAVE/USDC,0.6,9273,3381,590,0.0029395498509230517,0.0040897714979843125,-0.006508090770441819,0.031784965505225485,0.004460681452236231,0.00897968534584815,-0.20475374008564337,4
AAVE/USDT,0.2,14108,3381,3382,0.01265026139048294,0.029381030196169392,0.049158947845186506,0.06528449417604734,-0.012744027388471055,0.03190312508518877,0.7529957566896031,4
AAVE/USDT,0.3,14108,3381,2275,0.011103754904156358,0.026371444613154736,0.040685718962124626,0.06104734617607734,-0.008477876872199475,0.027538507468743843,0.6664617029922008,4
AAVE/USDT,0.4,14108,3381,1458,0.01039319692116887,0.02319315554235237,0.034069375835417595,0.05962598094059843,-0.0043454118415898095,0.024339882847746318,0.5713847340805012,4
AAVE/USDT,0.5,14108,3381,927,0.010245358824880679,0.020627516167740043,0.028621864870279425,0.05882412544401641,0.00023443862665409733,0.022330590419366338,0.4865667643618844,4
AAVE/USDT,0.6,14108,3381,590,0.010814936979789412,0.01830240670459972,0.024870561978779702,0.06158525156995957,0.00496841679097466,0.020841032814246714,0.40383957101624707,4
ACE/USDT,0.2,14107,3381,3382,0.0298288034754322,0.03503375434442531,0.11021359850078705,0.07401318427724132,-0.012094661979851488,0.030310021339222323,1.489107624377263,4
ACE/USDT,0.3,14107,3381,2275,0.022770469479988825,0.03323942222315799,0.0859711431748343,0.07220991242696975,-0.009983111222207217,0.0198372139214709,1.190572583386104,4
ACE/USDT,0.4,14107,3381,1458,0.017130867417640645,0.03212958958541997,0.06583585386684866,0.07058737575142782,-0.007625780021474897,0.011791339715242466,0.9326859404152168,4
